turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"A8F5CA6F-7888-451D-93F6-9A98295244D0","2024-02-15T23:50:00","2024-02-15T18:23:00",102027.8,10843.0,18981781.0,515898.0,1141407.0
"1F9BB3F2-7D57-4486-B048-9EBC57367163","2024-02-15T22:40:00","2024-02-15T18:20:00",31842.3,31544.0,11749144.0,291147.0,370826.0
"ADFFB783-8BEB-4DD7-899A-9FF8F53C3C4A","2024-02-16T00:00:00","2024-02-15T18:18:00",18721.3,21096.0,5489248.0,89127.0,193615.0
"ADFFB783-8BEB-4DD7-899A-9FF8F53C3C4A","2024-02-16T00:10:00","2024-02-15T18:18:00",18721.5,21096.0,5489282.0,89130.0,193615.0
"6AB6EB27-3406-4421-AACB-A047C1756934","2024-02-15T23:30:00","2024-02-15T18:25:00",112421.4,24478.0,14247762.0,284203.0,2177224.0
"4A5BC9C8-9791-45C1-BA7B-A0525656BB05","2024-02-15T23:50:00","2024-02-15T18:20:00",68843.5,34993.0,19992934.0,285831.0,547044.0
"1E9A526C-D62F-48DB-B3AD-A0D899C9E42A","2024-02-15T23:40:00","2024-02-15T18:18:00",108720.1,10211.0,42916982.0,1229150.0,1392971.0
"BED104C5-A2BB-495D-8FAD-A1C9B89CD461","2024-02-15T23:40:00","2024-02-15T18:20:00",3305.5,3125.0,110934.0,12043.0,8524.0
"102E073E-2B46-44A9-B547-A38531C3D9B6","2024-02-15T23:40:00","2024-02-15T18:20:00",110894.6,40321.0,41405223.0,598225.0,1963633.0
"AB94DED9-5503-482E-9A36-A46958339CD8","2024-02-15T23:40:00","2024-02-15T18:18:00",93572.6,58225.0,24896899.0,435159.0,686622.0
"C24DAAB9-F7D4-42A3-B18C-A71BD1278287","2024-02-15T23:40:00","2024-02-15T18:19:00",79415.5,35734.0,24436471.0,534421.0,1805931.0
